quantity_name;unit;depth_from[m];depth_to[m];value;description;quantity_source_name;quantity_source_description;quantity_source_provider;quantity_source_version;quantity_source_resolution;quantity_source_timerange;quantity_source_url;
saturation;m^3*m^-3;0.00;0.30;0.49;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
saturation;m^3*m^-3;0.00;0.30;0.59;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.00;0.30;19.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
clay fraction;% weight;0.00;0.30;12.00;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.00;0.30;2.41;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.00;0.30;2.13;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
sand fraction;% weight;0.00;0.30;47.00;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.00;0.30;37.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
silt fraction;% weight;0.00;0.30;41.00;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.00;0.30;44.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
saturation;m^3*m^-3;0.30;0.76;0.42;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.30;0.76;16.00;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.30;0.76;0.41;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.30;0.76;38.00;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.30;0.76;46.00;;insitu;in situ;None;None;None;None;None;
saturation;m^3*m^-3;0.76;1.39;0.40;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.76;1.39;22.00;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.76;1.39;0.12;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.76;1.39;43.00;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.76;1.39;35.00;;insitu;in situ;None;None;None;None;None;
land cover classification;;;;10;Cropland, rainfed;CCI_landcover_2000;ESA CCI Land Cover;ESA;2000-v1.6.1;300m;1998-2002;http://www.esa-landcover-cci.org/;
land cover classification;;;;10;Cropland, rainfed;CCI_landcover_2005;ESA CCI Land Cover;ESA;2005-v1.6.1;300m;2003-2007;http://www.esa-landcover-cci.org/;
land cover classification;;;;10;Cropland, rainfed;CCI_landcover_2010;ESA CCI Land Cover;ESA;2010-v1.6.1;300m;2008-2012;http://www.esa-landcover-cci.org/;
land cover classification;;;;None;vineyard;insitu;in situ;None;None;None;None;None;
climate classification;;;;None;Xeric_Mesic (empirically determined);insitu;in situ;None;None;None;None;None;
climate classification;;;;Dfb;Cold - Without dry season - Warm Summer;koeppen_geiger_2007;Koeppen-Geiger Climate Classification;None;Peel2007;0.1°;None;http://www.hydrol-earth-syst-sci.net/11/1633/2007/;
climate classification;;;;Cfa;Temperate - Without dry season - Hot Summer;koeppen_geiger_2017;Version 2017 Koeppen-Geiger Climate Classification;None;Rubel2017;0.08°;None;http://koeppen-geiger.vu-wien.ac.at/pdf/Paper_2017.pdf;
