quantity_name;unit;depth_from[m];depth_to[m];value;description;quantity_source_name;quantity_source_description;quantity_source_provider;quantity_source_version;quantity_source_resolution;quantity_source_timerange;quantity_source_url;
saturation;m^3*m^-3;0.00;0.30;0.49;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
clay fraction;% weight;0.00;0.30;19.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
organic carbon;% weight;0.00;0.30;2.13;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
sand fraction;% weight;0.00;0.30;37.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
silt fraction;% weight;0.00;0.30;44.00;;HWSD;Harmonized World Soil Database v1.1  by IIASA;IIASA;v1.1;30";None;http://webarchive.iiasa.ac.at/Research/LUC/External-World-soil-database/HTML/;
saturation;m^3*m^-3;0.05;0.05;0.51;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.05;0.05;13.60;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.05;0.05;3.08;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.05;0.05;65.70;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.05;0.05;20.70;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
saturation;m^3*m^-3;0.10;0.10;0.45;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.10;0.10;12.40;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.10;0.10;1.55;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.10;0.10;67.80;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.10;0.10;19.80;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
saturation;m^3*m^-3;0.20;0.20;0.42;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.20;0.20;10.60;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.20;0.20;0.73;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.20;0.20;69.50;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.20;0.20;19.90;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
saturation;m^3*m^-3;0.30;0.30;0.42;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
clay fraction;% weight;0.30;0.30;11.80;;insitu;in situ;None;None;None;None;None;
organic carbon;% weight;0.30;0.30;0.86;;insitu;in situ;None;None;None;None;None;
sand fraction;% weight;0.30;0.30;67.10;;insitu;in situ;None;None;None;None;None;
silt fraction;% weight;0.30;0.30;21.10;;insitu_calculated;calculated with in situ data;None;None;None;None;None;
land cover classification;;;;12;Cropland, rainfed / Tree or shrub cover;CCI_landcover_2000;ESA CCI Land Cover;ESA;2000-v1.6.1;300m;1998-2002;http://www.esa-landcover-cci.org/;
land cover classification;;;;12;Cropland, rainfed / Tree or shrub cover;CCI_landcover_2005;ESA CCI Land Cover;ESA;2005-v1.6.1;300m;2003-2007;http://www.esa-landcover-cci.org/;
land cover classification;;;;12;Cropland, rainfed / Tree or shrub cover;CCI_landcover_2010;ESA CCI Land Cover;ESA;2010-v1.6.1;300m;2008-2012;http://www.esa-landcover-cci.org/;
climate classification;;;;Csa;Temperate - Dry Summer - Hot Summer;koeppen_geiger_2007;Koeppen-Geiger Climate Classification;None;Peel2007;0.1°;None;http://www.hydrol-earth-syst-sci.net/11/1633/2007/;
climate classification;;;;Csa;Temperate - Dry Summer - Hot Summer;koeppen_geiger_2017;Version 2017 Koeppen-Geiger Climate Classification;None;Rubel2017;0.08°;None;http://koeppen-geiger.vu-wien.ac.at/pdf/Paper_2017.pdf;
